DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
1,2013-06-09,2013,6,9,2,23,7,Sunday,June,1,0,0,0,0,0,0
2,2013-06-10,2013,6,10,2,24,1,Monday,June,0,0,0,0,0,0,0
3,2013-06-11,2013,6,11,2,24,2,Tuesday,June,0,0,0,0,0,0,0
4,2013-06-12,2013,6,12,2,24,3,Wednesday,June,0,0,0,0,0,0,0
5,2013-06-13,2013,6,13,2,24,4,Thursday,June,0,0,0,0,0,0,0
6,2013-06-14,2013,6,14,2,24,5,Friday,June,0,0,0,0,0,0,0
7,2013-06-15,2013,6,15,2,24,6,Saturday,June,1,0,0,0,0,0,0
8,2013-06-16,2013,6,16,2,24,7,Sunday,June,1,0,0,0,0,0,0
9,2013-06-17,2013,6,17,2,25,1,Monday,June,0,0,0,0,0,0,0
10,2013-06-18,2013,6,18,2,25,2,Tuesday,June,0,0,0,0,0,0,0
11,2013-06-19,2013,6,19,2,25,3,Wednesday,June,0,0,0,0,0,0,0
12,2013-06-20,2013,6,20,2,25,4,Thursday,June,0,0,0,0,0,0,0
13,2013-06-21,2013,6,21,2,25,5,Friday,June,0,0,0,0,0,0,0
14,2013-06-22,2013,6,22,2,25,6,Saturday,June,1,0,0,0,0,0,0
15,2013-06-23,2013,6,23,2,25,7,Sunday,June,1,0,0,0,0,0,0
16,2013-06-24,2013,6,24,2,26,1,Monday,June,0,0,0,0,0,0,0
17,2013-06-25,2013,6,25,2,26,2,Tuesday,June,0,0,0,0,0,0,0
18,2013-06-26,2013,6,26,2,26,3,Wednesday,June,0,0,0,0,0,0,0
19,2013-06-27,2013,6,27,2,26,4,Thursday,June,0,0,0,0,0,0,0
20,2013-06-28,2013,6,28,2,26,5,Friday,June,0,0,0,0,0,0,0
21,2013-06-29,2013,6,29,2,26,6,Saturday,June,1,0,0,0,0,0,0
22,2013-06-30,2013,6,30,2,26,7,Sunday,June,1,0,1,0,1,0,0
23,2013-07-01,2013,7,1,3,27,1,Monday,July,0,1,0,1,0,0,0
24,2013-07-02,2013,7,2,3,27,2,Tuesday,July,0,0,0,0,0,0,0
25,2013-07-03,2013,7,3,3,27,3,Wednesday,July,0,0,0,0,0,0,0
26,2013-07-04,2013,7,4,3,27,4,Thursday,July,0,0,0,0,0,0,0
27,2013-07-05,2013,7,5,3,27,5,Friday,July,0,0,0,0,0,0,0
28,2013-07-06,2013,7,6,3,27,6,Saturday,July,1,0,0,0,0,0,0
29,2013-07-07,2013,7,7,3,27,7,Sunday,July,1,0,0,0,0,0,0
30,2013-07-08,2013,7,8,3,28,1,Monday,July,0,0,0,0,0,0,0
31,2013-07-09,2013,7,9,3,28,2,Tuesday,July,0,0,0,0,0,0,0
32,2013-07-10,2013,7,10,3,28,3,Wednesday,July,0,0,0,0,0,0,0
33,2013-07-11,2013,7,11,3,28,4,Thursday,July,0,0,0,0,0,0,0
34,2013-07-12,2013,7,12,3,28,5,Friday,July,0,0,0,0,0,0,0
35,2013-07-13,2013,7,13,3,28,6,Saturday,July,1,0,0,0,0,0,0
36,2013-07-14,2013,7,14,3,28,7,Sunday,July,1,0,0,0,0,0,0
37,2013-07-15,2013,7,15,3,29,1,Monday,July,0,0,0,0,0,0,0
38,2013-07-16,2013,7,16,3,29,2,Tuesday,July,0,0,0,0,0,0,0
39,2013-07-17,2013,7,17,3,29,3,Wednesday,July,0,0,0,0,0,0,0
40,2013-07-18,2013,7,18,3,29,4,Thursday,July,0,0,0,0,0,0,0
41,2013-07-19,2013,7,19,3,29,5,Friday,July,0,0,0,0,0,0,0
42,2013-07-20,2013,7,20,3,29,6,Saturday,July,1,0,0,0,0,0,0
43,2013-07-21,2013,7,21,3,29,7,Sunday,July,1,0,0,0,0,0,0
44,2013-07-22,2013,7,22,3,30,1,Monday,July,0,0,0,0,0,0,0
45,2013-07-23,2013,7,23,3,30,2,Tuesday,July,0,0,0,0,0,0,0
46,2013-07-24,2013,7,24,3,30,3,Wednesday,July,0,0,0,0,0,0,0
47,2013-07-25,2013,7,25,3,30,4,Thursday,July,0,0,0,0,0,0,0
48,2013-07-26,2013,7,26,3,30,5,Friday,July,0,0,0,0,0,0,0
49,2013-07-27,2013,7,27,3,30,6,Saturday,July,1,0,0,0,0,0,0
50,2013-07-28,2013,7,28,3,30,7,Sunday,July,1,0,0,0,0,0,0
51,2013-07-29,2013,7,29,3,31,1,Monday,July,0,0,0,0,0,0,0
52,2013-07-30,2013,7,30,3,31,2,Tuesday,July,0,0,0,0,0,0,0
53,2013-07-31,2013,7,31,3,31,3,Wednesday,July,0,0,1,0,0,0,0
54,2013-08-01,2013,8,1,3,31,4,Thursday,August,0,1,0,0,0,0,0
55,2013-08-02,2013,8,2,3,31,5,Friday,August,0,0,0,0,0,0,0
56,2013-08-03,2013,8,3,3,31,6,Saturday,August,1,0,0,0,0,0,0
57,2013-08-04,2013,8,4,3,31,7,Sunday,August,1,0,0,0,0,0,0
58,2013-08-05,2013,8,5,3,32,1,Monday,August,0,0,0,0,0,0,0
59,2013-08-06,2013,8,6,3,32,2,Tuesday,August,0,0,0,0,0,0,0
60,2013-08-07,2013,8,7,3,32,3,Wednesday,August,0,0,0,0,0,0,0
61,2013-08-08,2013,8,8,3,32,4,Thursday,August,0,0,0,0,0,0,0
62,2013-08-09,2013,8,9,3,32,5,Friday,August,0,0,0,0,0,0,0
63,2013-08-10,2013,8,10,3,32,6,Saturday,August,1,0,0,0,0,0,0
64,2013-08-11,2013,8,11,3,32,7,Sunday,August,1,0,0,0,0,0,0
65,2013-08-12,2013,8,12,3,33,1,Monday,August,0,0,0,0,0,0,0
