StoreID,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionCategory,HasCompetition
1,c,a,1270.0,9.0,2008.0,0,0.0,0.0,None,Close,1
2,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",Close,1
3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",Far,1
4,c,c,620.0,9.0,2009.0,0,0.0,0.0,None,Close,1
5,a,a,29910.0,4.0,2015.0,0,0.0,0.0,None,Far,1
6,a,a,310.0,12.0,2013.0,0,0.0,0.0,None,Very Close,1
7,a,c,24000.0,4.0,2013.0,0,0.0,0.0,None,Far,1
8,a,a,7520.0,10.0,2014.0,0,0.0,0.0,None,Far,1
9,a,c,2030.0,8.0,2000.0,0,0.0,0.0,None,Moderate,1
10,a,a,3160.0,9.0,2009.0,0,0.0,0.0,None,Moderate,1
11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",Close,1
12,a,c,1070.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",Close,1
13,d,a,310.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",Very Close,1
14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",Close,1
15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",Moderate,1
16,a,c,3270.0,0.0,0.0,0,0.0,0.0,None,Moderate,1
17,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",Very Close,1
18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",Far,1
19,a,c,3240.0,0.0,0.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",Moderate,1
20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",Moderate,1
